brand,car_model,battery_type,fast_charge_port,drivetrain,car_body_type,manufacturing_country,segment,feature,value,value_numeric,is_numeric,feature_type
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,towing_capacity_kg,2100.0,2100.0,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,cargo_volume_l,502.0,502.0,True,dimension
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,seats,5.0,5.0,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,length_mm,4928.0,4928.0,True,dimension
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,width_mm,1923.0,1923.0,True,dimension
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,height_mm,1455.0,1455.0,True,dimension
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,torque_nm_mapped,320.83947,320.83947,True,other
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,power_to_weight_ratio,0.3448275862068966,0.3448275862068966,True,performance
Audi,A6 Avant e-tron,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,efficiency,1.978891820580475,1.978891820580475,True,other
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,top_speed_kmh,210.0,210.0,True,performance
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,battery_capacity_kWh,94.9,94.9,True,other
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,number_of_cells,180.0,180.0,True,other
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,torque_nm,565.0,565.0,True,performance
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,efficiency_wh_per_km,151.0,151.0,True,other
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,range_km,575.0,575.0,True,performance
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,acceleration_0_100_s,5.4,5.4,True,performance
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,fast_charging_power_kw_dc,200.0,200.0,True,other
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,towing_capacity_kg,2100.0,2100.0,True,other
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,cargo_volume_l,502.0,502.0,True,dimension
Audi,A6 Avant e-tron performance,Lithium-ion,CCS,RWD,Station/Estate,Germany,JE - Executive,seats,5.0,5.0,True,other
